Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
3365	314	1397	1593	131	860
28951	342	760	579	2	6366
128	0	2	0	0	0
46	0	5	0	0	0
26661	56	544	30	0	12059
112	13	3	3	8	0
74	0	11	0	0	0
445	11	30	16	0	5
793	0	142	1	0	0
2490	196	360	304	99	936
1091	0	115	93	0	0
98	0	6	0	0	0
2120	0	275	970	2	0
255	0	3	4	0	0
376	0	5	8	0	0
527	0	20	4	0	0
1483	26	187	70	0	88
936	0	138	113	0	0
20675	177	2134	2888	78	7146
21	0	2	0	0	0
32	0	1	0	0	0
68	4	50	98	0	1
13616	31	2816	3409	28	144
49316	996	5252	6034	345	18507
98	0	21	35	0	1
7030	489	3339	3664	188	1870
51702	624	10486	11865	370	36330
1590	142	334	285	26	309		
108	0	6	0	0	0
67	0	5	1	0	0
120	1	25	14	0	4
251	0	61	29	0	0
62	0	5	6	0	0
6267	81	954	1070	7	1100
15782	83	235	57	0	3681
23	0	1	1	0	0
10104	21	125	21	0	1113
8734	11	204	91	6	625
1531	0	45	0	7	0
77	0	3	2	0	0
13	0	1	0	0	0
40	0	10	22	0	0
25	0	0	0	0	0
3458	1	350	126	0	297
1101	1	229	15	1	0
1062	0	200	1	0	0
44	0	1	0	0	0
528	0	77	0	0	0
1119	0	314	152	0	0
39589	58	1038	757	26	3178
63	0	8	1	0	0
2013	19	710	841	18	87
2377	141	883	710	8	685
1245	0	168	128	0	0
1916	145	288	168	3	75
210	15	22	15	0	7
1152	203	233	210	2	636
2140	0	361	0	0	0
1637	77	237	216	15	218
12858	0	791	507	8	1713
923	0	918	2506	2	0
53	0	0	1	0	0
2220	39	143	68	13	51
4657	1	660	480	0	1152
5222	16	286	116	59	164
8894	177	544	119	58	3831
370	3	25	15	0	2
1	0	0	0	0	0
4231	8	588	1000	0	60
460	2	101	69	1	0
61940	422	18494	24000	982	18587
540	0	68	12	0	0
15096	477	1819	1016	94	7125
1154	8	201	46	0	73
64	0	5	4	0	0
780	37	73	99	7	31
